"","adsh","cik","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","Quarter_Year"
"1","0001564590-17-003228",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2017-01-31,2017,"Q3",2017-03-02,2017-03-02 16:16:00,0,1,"aobc-20170131.xml",1,"","Q1_2017"
"2","0000320187-17-000031",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",2017-02-28,2017,"Q3",2017-04-04,2017-04-04 16:20:00,0,1,"nke-20170228.xml",1,"","Q1_2017"
"3","0001359841-17-000063",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2017-03-31,2017,"Q1",2017-05-03,2017-05-03 16:08:00,0,1,"hbi-20170401.xml",1,"","Q1_2017"
"4","0001050797-17-000025",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2017-03-31,2017,"Q1",2017-05-04,2017-05-04 14:31:00,0,1,"colm-20170331.xml",1,"","Q1_2017"
"5","0001267130-17-000038",1267130,"CABELAS INC",5940,"US","NE","SIDNEY","69160","ONE CABELA DRIVE","","308-254-5505","US","NE","SIDNEY","69160","ONE CABELA DRIVE","","US","DE",200486586,"",NA,"1-LAF",1,1231,"10-Q",2017-03-31,2017,"Q1",2017-05-04,2017-05-04 08:42:00,0,1,"cab-20170401.xml",1,"","Q1_2017"
"6","0001140361-17-018608",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2017-03-31,2017,"Q2",2017-05-05,2017-05-05 15:59:00,0,1,"jout-20170331.xml",1,"","Q1_2017"
"7","0001564590-17-009043",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2017-03-31,2017,"Q1",2017-05-05,2017-05-05 14:31:00,0,1,"skx-20170331.xml",1,"","Q1_2017"
"8","0001616318-17-000102",1616318,"VISTA OUTDOOR INC.",3480,"US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY DR","","801-447-3000","US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY DR","","US","DE",471016855,"",NA,"1-LAF",1,331,"10-K",2017-03-31,2016,"FY",2017-05-26,2017-05-26 17:21:00,0,1,"vsto-20170331.xml",1,"","Q1_2017"
"9","0001564590-17-013115",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-K",2017-04-30,2017,"FY",2017-06-29,2017-06-29 16:17:00,0,1,"aobc-20170430.xml",1,"","Q2_2017"
"10","0000320187-17-000090",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-K",2017-05-31,2017,"FY",2017-07-20,2017-07-20 16:18:00,0,1,"nke-20170531.xml",1,"","Q2_2017"
"11","0001359841-17-000092",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2017-06-30,2017,"Q2",2017-08-02,2017-08-02 17:08:00,0,1,"hbi-20170701.xml",1,"","Q2_2017"
"12","0001050797-17-000038",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2017-06-30,2017,"Q2",2017-08-03,2017-08-03 14:44:00,0,1,"colm-20170630.xml",1,"","Q2_2017"
